timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-15,106.7300,107.3100,104.8600,106.1700,106.1700,653739,0.0000,1.0000
2019-01-14,104.7300,108.2600,104.7200,106.6700,106.6700,1299037,0.0000,1.0000
2019-01-11,106.7300,108.7900,105.3300,105.4300,105.4300,1081189,0.0000,1.0000
2019-01-10,107.4900,107.7600,104.7800,106.8600,106.8600,1241193,0.0000,1.0000
2019-01-09,109.6400,110.5400,108.8400,109.4600,109.4600,791525,0.0000,1.0000
2019-01-08,108.2700,109.1933,106.5700,108.3300,108.3300,922500,0.0000,1.0000
2019-01-07,105.6500,107.5100,105.2400,106.7000,106.7000,1285321,0.0000,1.0000
2019-01-04,102.5500,105.7500,102.4900,104.7900,104.7900,871497,0.0000,1.0000
2019-01-03,104.9100,104.9100,100.4400,100.6800,100.6800,1157761,0.0000,1.0000
2019-01-02,101.5400,106.6300,101.1800,105.4400,105.4400,875383,0.0000,1.0000
2018-12-31,102.5400,103.9200,101.1500,103.4600,103.4600,818294,0.0000,1.0000
2018-12-28,102.6400,104.3200,101.0500,101.7800,101.7800,923324,0.0000,1.0000
2018-12-27,100.4600,102.0500,98.1500,102.0500,102.0500,1098982,0.6250,1.0000
2018-12-26,97.0300,101.9800,97.0300,101.9300,101.3095,754418,0.0000,1.0000
2018-12-24,97.4800,97.9500,95.6300,96.2000,95.6144,440055,0.0000,1.0000
2018-12-21,99.7000,101.7650,97.4900,97.5300,96.9363,1788833,0.0000,1.0000
2018-12-20,100.8200,102.3600,97.9500,99.3900,98.7850,1083290,0.0000,1.0000
2018-12-19,102.4800,104.4200,100.4300,101.0500,100.4349,970598,0.0000,1.0000
2018-12-18,101.9100,103.5400,101.3200,102.4800,101.8562,1082262,0.0000,1.0000
2018-12-17,99.9800,102.5000,97.8000,100.9600,100.3454,1658876,0.0000,1.0000
2018-12-14,102.0900,105.1700,101.0500,101.5000,100.8822,1105612,0.0000,1.0000
2018-12-13,108.3700,108.6200,102.5600,103.4800,102.8501,1227893,0.0000,1.0000
2018-12-12,106.2300,109.4800,106.2300,108.1400,107.4817,1405551,0.0000,1.0000
2018-12-11,106.9600,108.1700,104.1100,105.3100,104.6690,1019048,0.0000,1.0000
2018-12-10,104.4700,106.1100,102.2400,105.1400,104.5000,1186978,0.0000,1.0000
2018-12-07,108.7700,110.0000,104.5600,104.9000,104.2615,1959765,0.0000,1.0000
2018-12-06,107.5000,108.9600,105.1900,108.8300,108.1675,1781905,0.0000,1.0000
2018-12-04,115.0900,115.5100,109.2400,109.8700,109.2012,1392075,0.0000,1.0000
2018-12-03,113.4600,115.5100,113.3300,114.9400,114.2403,1749957,0.0000,1.0000
2018-11-30,110.6800,113.1700,110.3900,111.4000,110.7219,1548683,0.0000,1.0000
2018-11-29,112.5600,113.3800,111.1000,111.2900,110.6126,878818,0.0000,1.0000
2018-11-28,112.2200,113.4600,110.5400,112.4800,111.7953,1528883,0.0000,1.0000
2018-11-27,116.3100,116.3100,111.6550,112.5600,111.8748,1540402,0.0000,1.0000
2018-11-26,115.7700,117.5000,115.6101,117.0700,116.3574,887917,0.0000,1.0000
