Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-07-28,47.17,47.325,46.636,46.95,1196900.0,0.0,1.0,45.702954784525,45.85313409323,45.185562843568,45.489797056041,1196900.0
2014-07-29,46.89,47.416,46.75,47.03,1718800.0,0.0,1.0,45.431663130091,45.941303880921,45.296017302874,45.567308957308,1718800.0
2014-07-30,47.18,47.52,46.72,46.83,1594200.0,0.14,1.0,45.849303394821,46.179713805042,45.402277545698,45.509175031358,1594200.0
2014-07-31,46.96,47.13,46.68,46.72,1947400.0,0.0,1.0,45.635508423501,45.800713628612,45.363405732731,45.402277545698,1947400.0
2014-08-01,47.13,47.44,46.99,47.24,2442100.0,0.0,1.0,45.800713628612,46.101970179108,45.664662283227,45.907611114272,2442100.0
2014-08-04,47.13,47.44,46.99,47.24,1256400.0,0.0,1.0,45.800713628612,46.101970179108,45.664662283227,45.907611114272,1256400.0
2014-08-05,47.25,47.36,46.81,47.0,1007300.0,0.0,1.0,45.917329067513,46.024226553173,45.489739124874,45.674380236468,1007300.0
2014-08-06,46.9,47.25,46.85,47.15,1031400.0,0.0,1.0,45.57720070405,45.917329067513,45.528610937841,45.820149535095,1031400.0
2014-08-07,47.15,47.32,46.08,46.19,931000.0,0.0,1.0,45.820149535095,45.985354740206,44.780328538223,44.887226023882,931000.0
2014-08-08,46.19,46.435,45.92,46.4,953800.0,0.0,1.0,44.887226023882,45.125315878307,44.624841286354,45.09130304196,953800.0
2014-08-11,46.5,46.66,46.182,46.31,988000.0,0.0,1.0,45.188482574378,45.343969826247,44.879451661289,45.003841462784,988000.0
2014-08-12,46.25,46.48,45.782,45.96,772900.0,0.0,1.0,44.945533743333,45.169046667895,44.490733531617,44.663713099321,772900.0
2014-08-13,46.14,46.29,45.88,45.96,1395000.0,0.0,1.0,44.838636257673,44.9844055563,44.585969473387,44.663713099321,1395000.0
2014-08-14,45.99,47.145,45.99,47.12,1658900.0,0.0,1.0,44.692866959046,45.815290558475,44.692866959046,45.79099567537,1658900.0
2014-08-15,47.42,48.51,47.23,48.45,2781400.0,0.0,1.0,46.082534272624,47.14179117598,45.89789316103,47.08348345653,2781400.0
2014-08-18,48.75,49.48,47.92,48.16,1555100.0,0.0,1.0,47.375022053784,48.084432640435,46.568431934714,46.801662812517,1555100.0
2014-08-19,48.16,48.589,48.0,48.4,801700.0,0.0,1.0,46.801662812517,47.218563006591,46.646175560649,47.034893690321,801700.0
